"","EGFR","Hypoxia","JAK-STAT","MAPK","NFkB","PI3K","TGFb","TNFa","Trail","VEGF","p53","Androgen","Estrogen","WNT"
"ABCA12",0,0,0,0,0,0,0,0,0,0,9.597182119,0,0,0
"ABCA6",0,0,0,0,0,0,-3.271536895,0,0,0,0,0,0,0
"ABCA8",0,0,0,0,0,0,-1.70924508,0,0,0,0,0,0,0
"ABCC4",0,0,0,0,0,0,0,0,0,0,0,9.37428478112,0,0
"ABCC5",0,0,0,0,0,0,0,0,0,0,0,0,-4.8549878295,0
"ACER2",0,0,0,0,0,0,0,0,0,0,11.59606439,0,0,0
"ACOX3",0,0,0,0,0,0,2.721528765,0,0,0,0,0,0,0
"ACPP",0,0,0,0,0,0,0,0,0,0,0,-3.01472809845,0,0
"ACSL3",0,0,0,0,0,0,0,0,0,0,0,8.25821358567,0,0
"ACTC1",0,0,0,0,0,0,3.337429797,0,0,0,0,0,0,0
"ACVR2B-AS1",0,0,0,0,0,-3.929886269,0,0,0,0,0,0,0,0
"ADAM12",0,0,0,0,0,0,3.968304535,0,0,0,0,0,0,0
"ADAM6",0,0,0,0,0,0,0,0,1.356441358,0,0,0,0,0
"ADAM7",0,0,0,0,0,0,0,0,0,0,0,3.11174530687,0,0
"ADAMTS17",0,0,0,0,0,0,0,0,-1.577349257,0,0,0,0,0
"ADAR",0,0,3.874928961,0,0,0,0,0,0,0,0,0,0,0
"ADCY9",0,0,0,0,0,0,0,0,0,0,0,0,3.2478819979,0
"ADGRD1",0,0,0,0,0,0,0,0,0,-3.686645233,0,0,0,0
"ADM",0,17.82569614,0,0,0,0,0,0,0,0,0,0,0,0
"ADORA1",1.267810008,0,0,0,0,0,0,0,0,0,0,0,5.02379225883,0
"ADPRM",0,0,0,0,0,0,0,0,0,0,0,4.13348871896,0,0
"AEBP1",0,0,0,0,0,-4.092610788,0,0,0,0,0,0,0,0
"AEN",2.987402897,0,0,3.216118265,0,0,0,0,0,0,0,0,0,0
"AFF3",0,0,0,0,0,0,0,0,0,0,0,2.48009244085,0,0
"AGAP6",0,0,0,0,0,0,0,0,-1.854893017,0,0,0,0,0
"AHRR",0,0,0,0,0,0,0,0,0,18.50422252,0,0,0,0
"AIRE",0,0,0,0,0,0,0,0,0,0,0,0,0,0.756269896603
"AJUBA",-3.193264663,0,0,0,0,0,0,0,0,0,0,0,0,0
"AK1",0,0,0,0,0,0,0,0,0,0,4.352992415,0,0,0
"AK4",0,9.693023501,0,0,0,0,0,0,0,0,0,0,0,0
"AK5",0,0,0,0,0,0,-3.35713244,0,0,0,0,0,0,0
"AKR1B1",0,0,0,0,0,0,0,6.596693036,0,0,0,0,0,0
"AKR1B10",0,0,0,0,0,0,0,0,0,0,10.32207734,0,0,0
"ALDH1A1",0,0,0,0,0,0,0,0,0,-6.402508328,0,0,0,0
"ALDOA",0,7.654678081,0,0,0,0,0,0,0,0,0,0,0,0
"ALDOC",0,13.16152364,0,0,0,0,0,0,0,0,0,0,0,0
"ALOX12",0,0,0,0,0,0,0,0,0,0,0,0,0,-2.38809168835
"AMIGO1",0,0,0,0,0,-6.000321013,0,0,0,0,0,0,0,0
"ANAPC16",-1.821018358,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANGPT1",0,0,0,0,0,0,0,0,0,0,0,0,0,-1.92617170318
"ANGPTL4",0,12.64069065,0,0,0,0,0,0,0,0,0,0,0,0
"ANKLE2",0,0,0,0,2.211976322,0,0,2.36793168,0,0,0,0,0,0
"ANKRA2",0,0,0,0,0,0,0,0,0,0,10.88963097,0,0,0
"ANKRD1",0,0,0,0,0,0,0,0,0,0,0,0,0,5.75344104425
"ANKRD20A12P",0,0,0,0,0,0,0,0,0,0,3.69177441,0,0,0
"ANKRD33B",0,0,0,0,4.494298725,0,0,0,0,0,0,0,0,0
"ANKRD36BP2",0,0,0,0,0,0,0,0,0,-1.545867694,0,0,0,0
"ANKRD37",0,8.484976152,0,0,0,0,0,0,0,0,0,0,0,0
"ANKS1B",0,0,0,0,0,0,0,0,0,-2.577518491,0,0,0,0
"ANKZF1",0,7.358162866,0,0,0,0,0,0,0,0,0,0,0,0
"ANO2",0,0,0,0,0,0,0,0,0,0,0,0,0,1.36220022375
"APBA3",0,0,0,0,0,0,0,2.177085765,0,0,0,0,0,0
"APBB1",0,0,0,0,0,0,0,0,0,0,0,0,0,-1.01528790297
"APOBEC3G",0,0,2.82646311,0,0,0,0,0,0,0,0,0,0,0
"APOC1",0,0,0,0,0,-5.061310147,0,0,0,0,0,0,0,0
"APOL1",0,0,5.347499123,0,0,0,0,0,0,0,0,0,0,0
"APOL2",0,0,3.656057665,0,0,0,0,0,0,0,0,0,0,0
