"SYMBOL","UNIPROT"
"AHR","P35869"
"AR","P10275"
"ARID1A","O14497"
"ARID1B","Q8NFD5"
"ARID2","Q68CP9"
"ARID3A","Q99856"
"ARNT","P27540"
"ARNTL","O00327"
"ASCL1","P50553"
"ATF1","P18846"
"ATF2","P15336"
"ATF3","P18847"
"ATF4","P18848"
"ATF7","P17544"
"BACH1","O14867"
"BACH1","Q9BX63"
"BACH2","Q9BYV9"
"BATF","Q16520"
"BCL11A","Q9H165"
"BCL3","P20749"
"BCL6","P41182"
"BHLHE22","Q8NFJ8"
"BHLHE40","O14503"
"CDX2","Q99626"
"CEBPA","P49715"
"CEBPB","P17676"
"CEBPD","P49716"
"CEBPG","P53567"
"CLOCK","O15516"
"CREB1","P16220"
"CREB3","O43889"
"CREB3L1","Q96BA8"
"CREM","Q03060"
"CTCF","P49711"
"CTCFL","Q8NI51"
"CUX1","P39880"
"CUX1","Q13948"
"DNMT3B","Q9UBC3"
"DUX4","Q9UBX2"
"E2F1","Q01094"
"E2F2","Q14209"
"E2F3","O00716"
"E2F4","Q16254"
"E2F5","Q15329"
"E2F6","O75461"
"E2F7","Q96AV8"
"EBF1","Q9UH73"
"EGR1","P18146"
"EHF","Q9NZC4"
"ELF1","P32519"
"ELF3","P78545"
"ELF5","Q9UKW6"
"ELK1","P19419"
"ELK4","P28324"
"EOMES","O95936"
"EPAS1","Q99814"
"ERG","P11308"
"ERG","Q12809"
"ESR1","P03372"
"ESR2","Q92731"
"ESRRA","P11474"
"ETS1","P14921"
"ETS2","P15036"
"ETV1","P50549"
"ETV4","P43268"
"FLI1","Q01543"
"FOS","P01100"
"FOSL1","P15407"
"FOSL2","P15408"
"FOXA1","P55317"
"FOXA2","Q9Y261"
"FOXJ2","Q9P0K8"
"FOXK2","Q01167"
"FOXL2","P58012"
"FOXM1","Q08050"
"FOXO1","Q12778"
"FOXO3","O43524"
"FOXO4","P98177"
"FOXP1","Q9H334"
"FOXP2","O15409"
"GABPA","Q06546"
"GATA1","P15976"
"GATA2","P23769"
"GATA3","P23771"
"GATA6","Q92908"
"GATAD1","Q8WUU5"
"GFI1B","Q5VTD9"
"GLI2","P10070"
"GRHL2","Q6ISB3"
"HBP1","O60381"
"HBP1","Q8IV16"
"HHEX","Q03014"
"HIF1A","Q16665"
"HINFP","Q9BQA5"
"HMBOX1","Q6NT76"
"HNF1A","P20823"
"HNF1B","P35680"
"HNF4A","P41235"
"HNF4G","Q14541"
"HOXA9","P31269"
"HOXB13","Q92826"
"HSF1","Q00613"
"IKZF1","Q13422"
"IRF1","P10914"
"IRF2","P14316"
"IRF3","Q14653"
"IRF4","Q15306"
"IRF9","Q00978"
"JUN","P05412"
"JUNB","P17275"
"JUND","P17535"
"KDM5B","Q9UGL1"
"KLF1","Q13351"
"KLF13","Q9Y2Y9"
"KLF3","P57682"
"KLF4","O43474"
"KLF5","Q13887"
"KLF6","Q99612"
"KLF9","Q13886"
"KMT2A","Q03164"
"LEF1","Q9UJU2"
"LHX2","P50458"
"LYL1","P12980"
"MAF","O75444"
"MAFB","Q9Y5Q3"
"MAFF","Q9ULX9"
"MAFG","O15525"
"MAFK","O60675"
"MAX","P61244"
"MAZ","P56270"
"MBD1","Q9UIS9"
"MEF2A","Q02078"
"MEF2B","Q02080"
"MEF2C","Q06413"
"MEIS1","O00470"
"MEIS2","O14770"
"MIER1","Q8N108"
"MITF","O75030"
"MNT","Q99583"
"MTA1","Q13330"
"MTA2","O94776"
"MTA3","Q9BTC8"
"MXI1","P50539"
"MYB","P10242"
"MYBL2","P10244"
"MYC","P01106"
"MYCN","P04198"
"MYOD1","P15172"
"NANOG","Q9H9S0"
"NCOA1","Q15788"
"NCOA2","Q15596"
"NCOA3","Q9Y6Q9"
"NCOR1","O75376"
"NCOR2","Q9Y618"
"NEUROD1","Q13562"
"NFATC1","O95644"
"NFE2","Q16621"
"NFE2L2","Q16236"
"NFIC","P08651"
"NFKB1","P19838"
"NFKB2","Q00653"
"NFYA","P23511"
"NFYB","P25208"
"NONO","Q15233"
"NR1H2","P55055"
"NR1H3","Q13133"
"NR2C2","P49116"
"NR2F1","P10589"
"NR2F2","P24468"
"NR2F6","P10588"
"NR3C1","P04150"
"NR4A1","P22736"
"NR5A1","Q13285"
"NR5A2","O00482"
"NFE2L1","Q14494"
"NRF1","Q16656"
"ONECUT1","Q9UBC0"
"OTX2","P32243"
