uniprot	genesymbol
A7KAX9	ARHGAP32
E9PAV3	NACA
O00141	SGK1
O00159	MYO1C
O00165	HAX1
O00175	CCL24
O00206	TLR4
O00213	APBB1
O00220	TNFRSF10A
O00221	NFKBIE
O00254	F2RL2
O00255	MEN1
O00257	CBX4
O00267	SUPT5H
O00273	DFFA
O00300	TNFRSF11B
O00303	EIF3F
O00327	ARNTL
O00329	PIK3CD
O00401	WASL
O00418	EEF2K
O00422	SAP18
O00429	DNM1L
O00443	PIK3C2A
O00459	PIK3R2
O00482	NR5A2
O00505	KPNA3
O00512	BCL9
O00559	EBAG9
O00562	PITPNM1
O00571	DDX3X
O00574	CXCR6
O00587	MFNG
O00629	KPNA4
O00712	NFIB
O00716	E2F3
O00743	PPP6C
O00750	PIK3C2B
O00763	ACACB
O00767	SCD
O14508	SOCS2
O14543	SOCS3
O14558	HSPB6
O14595	CTDSP2
O14640	DVL1
O14641	DVL2
O14672	ADAM10
O14682	ENC1
O14686	KMT2D
O14727	APAF1
O14733	MAP2K7
O14737	PDCD5
O14744	PRMT5
O14745	SLC9A3R1
O14757	CHEK1
O14763	TNFRSF10B
O14788	TNFSF11
O14795	UNC13B
O14798	TNFRSF10C
O14807	MRAS
O14818	PSMA7
O14828	SCAMP3
O14867	BACH1
O14874	BCKDK
O14920	IKBKB
O14939	PLD2
O14950	MYL12B
O14964	HGS
O14965	AURKA
O14974	PPP1R12A
O14980	XPO1
O15020	SPTBN2
O15027	SEC16A
O15031	PLXNB2
O15047	SETD1A
O15055	PER2
O15056	SYNJ2
O15078	CEP290
O15105	SMAD7
O15111	CHUK
O15117	FYB1
O15119	TBX3
O15123	ANGPT2
O15143	ARPC1B
O15151	MDM4
O15162	PLSCR1
O15164	TRIM24
O15169	AXIN1
O15182	CETN3
O15194	CTDSPL
O15205	UBD
O15218	GPR182
O15226	NKRF
O15230	LAMA5
O15264	MAPK13
O15269	SPTLC1
O15294	OGT
O15297	PPM1D
O15304	SIVA1
O15357	INPPL1
O15360	FANCA
O15379	HDAC3
O15393	TMPRSS2
O15438	ABCC3
O15455	TLR3
O15460	P4HA2
O15467	CCL16
O15492	RGS16
O15503	INSIG1
O15511	ARPC5
O15516	CLOCK
O15519	CFLAR
O15525	MAFG
O15527	OGG1
O15530	PDPK1
O15534	PER1
O15550	KDM6A
O43151	TET3
O43156	TTI1
O43157	PLXNB1
O43187	IRAK2
O43255	SIAH2
O43257	ZNHIT1
O43283	MAP3K13
O43293	DAPK3
O43294	TGFB1I1
O43303	CCP110
O43312	MTSS1
O43313	ATMIN
O43315	AQP9
O43318	MAP3K7
O43324	EEF1E1
O43353	RIPK2
O43374	RASA4
O43395	PRPF3
O43432	EIF4G3
O43463	SUV39H1
O43464	HTRA2
O43474	KLF4
O43502	RAD51C
O43504	LAMTOR5
O43508	TNFSF12
O43521	BCL2L11
O43524	FOXO3
O43541	SMAD6
O43557	TNFSF14
O43561	LAT
O43597	SPRY2
O43609	SPRY1
O43639	NCK2
O43660	PLRG1
O43663	PRC1
O43665	RGS10
O43707	ACTN4
O43715	TRIAP1
O43781	DYRK3
O43791	SPOP
O43823	AKAP8
O43903	GAS2
O60216	RAD21
O60237	PPP1R12B
O60238	BNIP3L
O60244	MED14
O60266	ADCY3
O60271	SPAG9
O60285	NUAK1
O60307	MAST3
O60315	ZEB2
O60331	PIP5K1C
O60341	KDM1A
O60343	TBC1D4
O60346	PHLPP1
O60353	FZD6
O60381	HBP1
O60462	NRP2
O60504	SORBS3
O60506	SYNCRIP
O60516	EIF4EBP3
O60603	TLR2
O60610	DIAPH1
O60671	RAD1
O60673	REV3L
O60674	JAK2
O60675	MAFK
O60684	KPNA6
O60716	CTNND1
O60729	CDC14B
O60825	PFKFB2
O60869	EDF1
O60880	SH2D1A
O60885	BRD4
O60895	RAMP2
O60921	HUS1
O60934	NBN
O60936	NOL3
O75030	MITF
O75056	SDC3
O75116	ROCK2
O75143	ATG13
O75150	RNF40
O75164	KDM4A
O75177	SS18L1
O75197	LRP5
O75293	GADD45B
O75376	NCOR1
O75379	VAMP4
O75385	ULK1
O75410	TACC1
O75444	MAF
O75460	ERN1
O75461	E2F6
O75469	NR1I2
O75474	FRAT2
O75475	PSIP1
O75496	GMNN
O75506	HSBP1
O75509	TNFRSF21
O75531	BANF1
O75533	SF3B1
O75553	DAB1
O75569	PRKRA
O75581	LRP6
O75582	RPS6KA5
O75618	DEDD
O75626	PRDM1
O75663	TIPRL
O75665	OFD1
O75676	RPS6KA4
O75688	PPM1B
O75807	PPP1R15A
O75822	EIF3J
O75886	STAM2
O75909	CCNK
O75925	PIAS1
O75928	PIAS2
O75943	RAD17
O76064	RNF8
O94782	USP1
O94788	ALDH1A2
O94804	STK10
O94806	PRKD3
O94813	SLIT2
O94817	ATG12
O94856	NFASC
O94875	SORBS2
O94916	NFAT5
O94921	CDK14
O95071	UBR5
O95136	S1PR2
O95140	MFN2
O95163	ELP1
O95166	GABARAP
O95251	KAT7
O95271	TNKS
O95278	EPM2A
O95295	SNAPIN
O95297	MPZL1
O95352	ATG7
O95382	MAP3K6
O95391	SLU7
O95393	BMP10
O95405	ZFYVE9
O95429	BAG4
O95433	AHSA1
O95453	PARN
O95476	CTDNEP1
O95477	ABCA1
O95613	PCNT
O95622	ADCY5
O95644	NFATC1
O95684	FGFR1OP
O95747	OXSR1
O95760	IL33
