Nodes	Activity
AR	0
ATF2	0
E2F1	0
E2F4	0
E2F6	0
E2F7	-1
ELK1	-1
ESR1	1
ESR2	0
ETS1	-1
FOS	-1
FOSL2	-1
FOXA1	1
FOXA2	1
FOXM1	-1
GABPA	0
GATA1	0
GATA2	0
GATA3	1
HNF4A	0
MYC	0
MYCN	0
NFE2	0
PBX1	-1
PPARD	0
STAT3	0
TFAP2C	1
TP53	-1
TP63	1
USF1	0
YBX1	-1
YY1	0
ZNF423	1
A2M	0
AAAS	0
AAK1	0
AATK	0
ABCA1	0
ABHD5	0
ABI1	0
ABI2	0
ABL1	0
ABL2	0
ABR	0
ABRAXAS1	0
ACAP1	0
ACAP2	0
ACD	0
ACE	0
ACP1	0
ACTB	0
ACTG1	0
ACTL6A	0
ACTN1	0
ACTN3	0
ACTR2	0
ACTR5	0
ACTR8	0
ACVR1	0
ACVR1B	0
ACVR1C	0
ACVR2A	0
ACVR2B	0
ACVRL1	0
ADAM10	0
ADAM12	0
ADAM17	0
ADAMTS13	0
ADAP1	0
ADCY1	0
ADCY2	0
ADCY3	0
ADCY4	0
ADCY5	0
ADCY6	0
ADCY7	0
ADCY8	0
ADCY9	0
ADCYAP1	0
ADCYAP1R1	0
ADGRF5	0
ADGRG1	0
ADIPOQ	0
ADIPOR1	0
ADIPOR2	0
ADORA1	0
ADORA2A	0
ADORA2B	0
ADORA3	0
ADRA1A	0
ADRA1B	0
ADRA1D	0
ADRA2A	0
ADRA2B	0
ADRA2C	0
ADRB1	-1
ADRB2	0
ADRB3	0
AES	0
AFDN	0
AGAP2	0
AGER	0
AGRN	0
AGRP	0
AGT	0
AGTR1	0
AGTR2	0
AHCTF1	0
AHCYL2	0
AHRR	0
AHSA1	0
AHSP	0
AIMP1	0
AJUBA	0
AKAP1	0
AKAP13	0
AKT1	0
AKT1S1	0
AKT2	0
AKT3	-1
ALB	0
ALK	0
ALS2	0
AMBRA1	0
AMER1	0
AMH	0
AMHR2	0
AMOT	0
AMOTL1	0
AMOTL2	0
AMPH	0
ANAPC1	0
ANAPC10	0
ANAPC11	0
ANAPC13	0
ANAPC2	0
ANAPC4	0
ANAPC5	0
ANAPC7	0
ANGPT1	0
ANGPT2	0
ANGPT4	0
ANGPTL1	0
ANGPTL3	0
ANGPTL4	0
ANGPTL8	0
ANK1	0
ANK2	0
ANK3	0
ANKLE2	0
ANKRD6	0
ANOS1	0
ANP32A	0
ANXA1	0
ANXA2	0
AP1M1	0
AP2A1	0
AP2A2	0
AP2B1	0
AP2M1	0
AP2S1	0
APAF1	1
APBA1	0
APBB1IP	0
APC	0
APC2	0
APEX1	0
APH1A	0
APH1B	0
APIP	0
APOA1	0
APOA5	0
APOB	0
APOBEC3G	0
APOC2	0
APOC3	0
APOE	0
APOF	0
APP	-1
APPBP2	0
APPL1	0
ARAF	0
ARAP1	0
ARAP2	0
ARAP3	0
AREG	0
ARF1	0
ARF4	0
ARF6	0
ARFGAP1	0
ARFGAP3	0
ARFIP2	0
ARHGAP1	0
ARHGAP10	0
ARHGAP17	0
ARHGAP26	0
ARHGAP32	0
ARHGAP35	0
ARHGAP4	0
ARHGAP5	0
ARHGAP6	0
ARHGAP8	0
ARHGAP9	0
ARHGDIA	0
ARHGDIB	0
ARHGDIG	0
ARHGEF1	0
ARHGEF10	0
ARHGEF10L	0
ARHGEF11	0
ARHGEF12	0
ARHGEF15	0
ARHGEF17	0
ARHGEF18	0
ARHGEF2	0
ARHGEF25	0
ARHGEF26	0
ARHGEF28	0
ARHGEF3	0
ARHGEF4	0
ARHGEF5	0
ARHGEF6	0
ARHGEF7	0
ARHGEF9	0
ARL2	0
ARL6IP5	0
ARNT	0
ARNT2	0
ARNTL	0
ARPC1A	0
ARPC1B	0
ARPC2	0
ARPC3	0
ARPC4	0
ARPC5	0
ARPC5L	0
ARR3	0
ARRB1	0
ARRB2	0
ARSA	0
ARTN	0
ARVCF	0
ASAP1	0
ASAP3	0
ASCL1	0
ASH2L	0
ASIC4	0
ASIP	0
ASPH	0
ASPSCR1	0
ATAD2	0
ATF1	0
ATF3	0
ATF4	0
ATF6	0
ATF6B	0
ATF7IP	0
ATG10	0
ATG101	0
ATG12	0
ATG13	0
ATG16L1	0
ATG4B	0
ATG5	0
ATG7	0
ATG9A	0
ATM	0
ATP2A1	0
ATP2A2	0
ATP2A3	0
ATP2B4	0
ATP6AP1	0
ATP6AP2	0
ATP6V1A	0
ATP6V1B1	0
ATP6V1B2	0
ATP6V1C1	0
ATP6V1C2	0
ATP6V1D	0
ATP6V1E1	0
ATP6V1E2	0
ATP6V1F	0
ATP6V1G1	0
ATP6V1G2	0
ATP6V1G3	0
ATP6V1H	0
ATR	0
ATRIP	0
ATXN2L	0
AURKA	0
AURKAIP1	0
AURKB	0
AURKC	0
AVP	0
AVPR1A	0
AVPR1B	0
AVPR2	0
AXIN1	0
AXIN2	0
AXL	0
AZI2	0
B2M	0
BACE1	0
BAD	0
BAG1	0
BAG4	0
BAIAP2	0
BAK1	0
BAMBI	0
BAP1	0
BARD1	0
BAX	0
BAZ1B	0
BBC3	0
BBIP1	0
BBS1	0
BBS10	0
BBS12	0
BBS2	0
BBS4	0
BBS5	0
BBS7	0
BBS9	0
BCAR1	0
BCAR3	0
BCCIP	0
BCKDK	0
BCL10	0
BCL2	0
BCL2L1	0
BCL2L11	0
BCL2L2	0
BCL3	0
BCL6	0
BCL9	0
BCOR	0
BCR	0
BDKRB1	0
BDKRB2	0
BDNF	0
BECN1	0
BET1	0
BET1L	0
