Node1	Sign	Node2
ABL1	 1	ESR1
ABL1	 1	FOXA1
ADRB2	-1	PRKACA
CDK1	 1	ABL1
CDK1	 1	GATA2
CDK1	 1	UBE2I
CDK2	-1	TP63
CSNK2A1	-1	ESR1
E2F4	-1	CDK1
ESR1	 1	GATA3
ESR1	 1	RXRA
MAPK1	-1	CDK1
MAPK1	-1	RXRA
MAPK14	 1	ATF2
MAPK14	 1	ESR1
MAPK14	 1	GATA2
MAPK14	 1	STAT3
MAPK14	 1	USF1
MAPK8	 1	ATF2
MAPK8	 1	NFE2
MAPK8	 1	STAT3
NR1I2	 1	HNF4A
PRKACA	 1	GATA3
PRKCD	-1	FLI1
PRKCD	-1	PRKDC
PRKDC	 1	MAPK8
PRKDC	 1	USF1
PTPN7	-1	MAPK14
RXRA	 1	NR1I2
RXRA	 1	PPARD
UBE2I	 1	TFAP2C
ABL1	-1	PLCG1
BIRC2	 1	TNFRSF1B
CASP8	 1	TNFRSF1A
CDK1	-1	CASP8
CDK2	 1	MYC
CDK2	 1	RBL1
CSNK2A1	 1	MAZ
CSNK2A1	 1	MYC
CSNK2A1	 1	NOTCH1
CSNK2A1	 1	RELA
JUND	 1	FOSL2
MAPK1	 1	CDK2
MAPK1	 1	CSNK2A1
MAPK1	 1	ELK1
MAPK1	 1	GABPA
MAPK1	 1	JUND
MAPK1	 1	MYC
MAPK1	 1	RELA
MAPK14	-1	CASP8
MAPK14	-1	MAPK1
MYC	 1	RELA
NFKB1	 1	NFKB2
NFKB1	 1	RELA
NFKB1	 1	RELB
NOTCH1	 1	MYC
NOTCH1	 1	NFKB1
NOTCH1	 1	SOX2
PLCG1	 1	SOS1
PRKACA	-1	PLCG1
PRKACA	-1	PTPN7
RBL1	 1	E2F4
RELA	 1	NFKB2
RELB	 1	NFKB2
RELB	 1	RELA
SOS1	 1	HRAS
SOS1	 1	KRAS
SOS1	 1	NRAS
TNFRSF1A	 1	BIRC2
TNFRSF1A	 1	PRKCD
