Nodes	Activity
ATF2	1
E2F4	-1
ELK1	-1
ESR1	1
FLI1	1
FOSL2	-1
FOXA1	1
GABPA	-1
GATA2	1
GATA3	1
HNF4A	1
MAZ	-1
MYC	-1
NFE2	1
PPARD	1
RXRA	1
SOX2	-1
STAT3	1
TFAP2C	1
TP63	1
USF1	1
HRAS	-1
KRAS	-1
NRAS	-1
NFKB1	-1
NFKB2	-1
RELA	-1
RELB	-1
TNFRSF1A	-1
TNFRSF1B	-1
ABL1	1
ADRB2	-1
BIRC2	-1
CASP8	-1
CDK1	1
CDK2	-1
CSNK2A1	-1
JUND	-1
MAPK1	-1
MAPK14	1
MAPK8	1
NOTCH1	-1
NR1I2	1
PLCG1	-1
PRKACA	1
PRKCD	-1
PRKDC	1
PTPN7	-1
RBL1	-1
SOS1	-1
UBE2I	1
ADRB1	-1
