Nodes	Activity
ATF2	1
E2F1	-1
E2F4	-1
E2F6	-1
E2F7	-1
ELK1	-1
ESR1	1
ETS1	-1
FOS	-1
FOSL2	-1
FOXA1	1
FOXA2	1
FOXM1	-1
GATA1	1
GATA2	1
GATA3	1
MYC	-1
PBX1	-1
STAT3	1
TFAP2C	1
TP53	-1
TP63	1
USF1	1
YBX1	-1
YY1	-1
ZNF423	1
ADRB1	-1
ADRB2	-1
ADRB3	-1
AKT1	-1
CASP6	1
CASP9	1
CD247	1
CDK2	-1
CHUK	-1
EBF1	1
GNAI3	-1
HOXB3	1
HRAS	-1
KAT2B	-1
MAPK10	-1
MAPK11	1
PIAS2	1
RELA	-1
RUNX1	-1
SHC1	1
SIRT2	1
SPI1	1
STAT6	1
TFAP2A	1
TFDP1	-1
TYK2	1
SLC22A2	-1
