,Score,Target
0,PRO_EGFR,EGFR
1,PRO_MAPK,MAPK3
2,PRO_MAPK,MAPK1
3,PRO_PI3K,PIK3CA
4,PRO_TNFa,TNFRSF1A
5,PRO_TNFa,TNFRSF1B
6,PRO_NFkB,NFKB1
7,PRO_NFkB,RELA
8,PRO_JAK.STAT,JAK1
9,PRO_JAK.STAT,JAK2
10,PRO_JAK.STAT,JAK3
11,PRO_Hypoxia,HIF1A
12,PRO_p53,TP53
13,PRO_TGFb,TGFBR1
14,PRO_TGFb,TGFBR2
15,PRO_VEGF,KDR
16,PRO_Trail,TNFSF10
17,PRO_Androgen,AR
18,PRO_Estrogen,ESR1
19,PRO_Estrogen,ESR2
20,PRO_WNT,CTNNB1
